,Date,Open,High,Low,Close,Adj Close,Volume,Percentage,Daily Returns %,Moving AGV 7 Day,Moving AGV 30 Day,Year
0,2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500,20.4688154039347,,4.778,4.778,2010
1,2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500,-8.224926563155693,-0.2511511092507246,4.772,4.772,2010
2,2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000,-13.843351548269572,-7.847251363827102,4.645333333333333,4.645333333333333,2010
3,2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,-19.791666666666664,-12.568306010928975,4.444,4.444,2010
4,2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500,-24.14649286157666,-16.093749999999996,4.1996,4.1996,2010
5,2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500,-3.797468354430369,-1.9242706393544307,4.0263333333333335,4.0263333333333335,2010
6,2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,7.560137457044667,10.50632911392404,3.9499999999999997,3.9499999999999997,2010
7,2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,-1.0344827586206906,-0.3436426116838476,3.7645714285714287,3.89125,2010
8,2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,-5.27859237536656,-2.011494252873558,3.5708571428571427,3.8377777777777777,2010
9,2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,4.134509371554572,6.392961876832848,3.4617142857142857,3.8167999999999997,2010
10,2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,9.576612903225804,9.3715545755237,3.48,3.830545454545455,2010
11,2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,-0.25138260432377546,0.2520161290322731,3.588,3.842833333333333,2010
12,2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,-0.2906976744185942,3.7707390648566985,3.7262857142857144,3.864769230769231,2010
13,2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,2.464628023733447,6.153100775193798,3.853428571428572,3.9017142857142857,2010
14,2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,-7.635467980295579,-7.3482428115016045,3.9362857142857144,3.9122666666666666,2010
15,2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,-2.176063303659745,-0.3940886699507429,4.026857142857144,3.9205,2010
16,2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,2.380952380952394,3.857566765578646,4.1085714285714285,3.936941176470588,2010
17,2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,0.46970408642554184,1.3809523809523716,4.15,3.954777777777778,2010
18,2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,-2.6252983293555947,-1.5969938938468653,4.180285714285715,3.967157894736842,2010
19,2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,-1.7518248175182498,-1.9093078758949944,4.177714285714286,3.9743000000000004,2010
20,2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,0.8204633204633158,0.8272506082725117,4.143714285714286,3.9823809523809524,2010
21,2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,-2.0638820638820548,-1.7857142857142794,4.145142857142857,3.9863636363636363,2010
22,2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,-1.303911735205618,-2.0147420147420214,4.137142857142858,3.9864347826086957,2010
23,2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,2.0076481835564177,4.9147442326981094,4.134857142857143,3.994666666666667,2010
24,2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,4.328018223234613,4.923518164435925,4.153714285714286,4.01048,2010
25,2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,-3.2455315145813715,-3.1435079726651494,4.162571428571428,4.0197692307692305,2010
26,2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,-5.330073349633251,-3.8099717779868314,4.159714285714286,4.02237037037037,2010
